iter	MAE
0	0.9799392578
5	0.9203891927
10	0.8633197266
15	0.8084705078
20	0.7562104167
25	0.7066469401
30	0.6595433594
35	0.614875651
40	0.5731110026
45	0.5339078125
50	0.497599349
55	0.4637344401
60	0.4326703776
65	0.4045693034
70	0.378469694
75	0.3545159505
80	0.3327696289
85	0.3128945638
90	0.2950203451
95	0.2790245443
100	0.2648154297
105	0.2517792643
110	0.2400491374
115	0.2295647949
120	0.2203977702
125	0.2123775228
130	0.2053733073
135	0.1992163086
140	0.1936166016
145	0.1887014811
150	0.1844367513
155	0.1804474284
160	0.1769544108
165	0.173776416
170	0.171170166
175	0.1684409017
180	0.1662658203
185	0.1638820964
190	0.1617474447
195	0.1601262695
200	0.1585260254
205	0.1570388346
210	0.1552894857
215	0.1539113444
220	0.1522653971
225	0.150879834
230	0.149586084
235	0.1483860352
240	0.1472258626
245	0.1461537598
250	0.1449096517
255	0.1436489421
260	0.1425400716
265	0.1414461263
270	0.1405245117
275	0.1396448568
280	0.1388002767
285	0.1379666178
290	0.1372145508
295	0.1363366943
300	0.1356724202
305	0.1349539144
310	0.1342314209
315	0.1336983561
320	0.1330803548
325	0.1325872314
330	0.1320339925
335	0.1314737386
340	0.1308942952
345	0.1304049479
350	0.1299206624
355	0.1294097575
360	0.1290312581
365	0.1285805583
370	0.1282294596
375	0.1277135335
380	0.1272728841
385	0.1269726725
390	0.1265224772
395	0.1262046224
400	0.1258019124
405	0.1254715739
410	0.1250684489
415	0.1247163656
420	0.1243018799
425	0.1239714681
430	0.1236806478
435	0.1233351644
440	0.1229955566
445	0.1226828857
450	0.1224060628
455	0.1221791585
460	0.1219703206
465	0.121723112
470	0.1213817383
475	0.1210764811
480	0.1207958659
485	0.1205778646
490	0.1203467855
495	0.1200842285
500	0.1198548665
505	0.1196490316
510	0.1194160645
515	0.1191513916
520	0.1189350505
525	0.1186983154
530	0.1184982015
535	0.1182639893
540	0.1180366862
545	0.1177784749
550	0.1175728353
555	0.1173915446
560	0.1171979248
565	0.1170097249
570	0.116774471
575	0.1165902425
580	0.1164178955
585	0.116242334
590	0.1160639079
595	0.1159006999
600	0.115735026
605	0.1155640788
610	0.1154012533
615	0.1152070801
620	0.1150312907
625	0.1148919271
630	0.1147332764
635	0.1145725423
640	0.1144230957
645	0.1142609049
650	0.1140889242
655	0.1139135173
660	0.1137599772
665	0.113620638
670	0.1134606852
675	0.1132830892
680	0.1131416748
685	0.1130024658
690	0.1128763835
695	0.1127569173
700	0.1126237142
705	0.1124651367
710	0.1123362223
715	0.1122077474
720	0.1120569092
725	0.1119276449
730	0.1117827718
735	0.1116434408
740	0.1115315104
745	0.1114353271
750	0.1113034261
755	0.1111673014
760	0.1110464355
765	0.1109330485
770	0.1108077718
775	0.1106781576
780	0.1105561849
785	0.1104556966
790	0.1103394938
795	0.1101976074
800	0.1100854818
805	0.109989445
810	0.1098582926
815	0.1097511963
820	0.1096413818
825	0.1095548584
830	0.1094434489
835	0.109344515
840	0.1092359782
845	0.1091283854
850	0.1090188151
855	0.1089220378
860	0.1088337402
865	0.1087457764
870	0.1086359049
875	0.1085180827
880	0.1084149495
885	0.108303361
890	0.1082086995
895	0.1081133952
900	0.1080199463
905	0.1079279541
910	0.1078390462
915	0.1077342936
920	0.1076538656
925	0.1075639079
930	0.1074538493
935	0.1073500163
940	0.1072745931
945	0.1071644857
950	0.107076123
955	0.1069905029
960	0.1069167155
965	0.1068338704
970	0.1067504232
975	0.1066677165
980	0.1065889567
985	0.1065143555
990	0.1064224935
995	0.1063481038
1000	0.10627382
1005	0.1061930583
1010	0.10611521
1015	0.1060233887
1020	0.1059466309
1025	0.1058577474
1030	0.1057979167
1035	0.1057227865
1040	0.1056489665
1045	0.1055852458
1050	0.1055079264
1055	0.1054109294
1060	0.1053182373
1065	0.1052429281
1070	0.1051713053
1075	0.1050929118
1080	0.1050321452
1085	0.1049476237
1090	0.1048791992
1095	0.1048089518
1100	0.1047262777
1105	0.1046500977
1110	0.1045700602
1115	0.1044799398
1120	0.1044066732
1125	0.1043337565
1130	0.104267334
1135	0.1041995605
1140	0.1041392334
1145	0.1040855632
1150	0.1040168457
1155	0.1039446289
1160	0.1038822998
1165	0.1038161458
1170	0.1037448079
1175	0.103679834
1180	0.1036143148
1185	0.1035489909
1190	0.10347736
1195	0.1034041341
1200	0.1033562419
1205	0.1032945964
1210	0.1032432617
1215	0.1031860514
1220	0.1031258789
1225	0.1030845785
1230	0.1030276855
1235	0.1029700033
1240	0.1029073242
1245	0.1028416992
1250	0.1027781494
1255	0.1027106038
1260	0.1026397054
1265	0.1025764404
1270	0.1025284424
1275	0.1024623942
1280	0.1023958171
1285	0.1023213379
1290	0.1022702881
1295	0.1022123861
1300	0.1021656901
1305	0.1021229004
1310	0.1020715169
1315	0.1020059001
1320	0.1019614258
1325	0.101918929
1330	0.1018807048
1335	0.1018325033
1340	0.1017914469
1345	0.1017494629
1350	0.1017092367
1355	0.101637028
1360	0.1015820964
1365	0.1015210937
1370	0.1014669922
1375	0.1014085937
1380	0.1013487223
1385	0.1013036296
1390	0.1012698649
1395	0.1012294678
1400	0.10116757
1405	0.1011128174
1410	0.1010554281
1415	0.1010125163
1420	0.1009335368
1425	0.1008820801
1430	0.1008453125
1435	0.1007835205
1440	0.1007334473
1445	0.1006868571
1450	0.1006299154
1455	0.1005910563
1460	0.1005432536
1465	0.1005032878
1470	0.1004627686
1475	0.1004244792
1480	0.1003751872
1485	0.1003327474
1490	0.1002816813
1495	0.1002427246
1500	0.1001985514
1505	0.1001362223
1510	0.1000778564
1515	0.1000148112
1520	0.09997473958
1525	0.09992538249
1530	0.09988152669
1535	0.09983960775
1540	0.09979928385
1545	0.09974654134
1550	0.09969581706
1555	0.09964147949
1560	0.09959061686
1565	0.09955375977
1570	0.09952168783
1575	0.09948574219
1580	0.09943701172
1585	0.09940352376
1590	0.09936097005
1595	0.09932364909
1600	0.09928821615
1605	0.09924773763
1610	0.09922044271
1615	0.09916777344
1620	0.09913618164
1625	0.09909138184
1630	0.09904567057
1635	0.09900663249
1640	0.09897740072
1645	0.09894457194
1650	0.09889910482
1655	0.09886267904
1660	0.09881309408
1665	0.09876520996
1670	0.09872416178
1675	0.09868967285
1680	0.09865553385
1685	0.09861625977
1690	0.09856900228
1695	0.09851883138
1700	0.09848583171
1705	0.0984546224
1710	0.0984175293
1715	0.09835681966
1720	0.0983177002
1725	0.09828506673
1730	0.09825197754
1735	0.09822282715
1740	0.09818618978
1745	0.09814746094
1750	0.09810351562
1755	0.0980582194
1760	0.09802665202
1765	0.09799178874
1770	0.09795878092
1775	0.09792010091
1780	0.09788505046
1785	0.09785288086
1790	0.09781813965
1795	0.09778212891
1800	0.09772949219
1805	0.09770405273
1810	0.09766743164
1815	0.09761775716
1820	0.09758767904
1825	0.09756778971
1830	0.0975367513
1835	0.09750139974
1840	0.0974785319
1845	0.09744782715
1850	0.0974038737
1855	0.09737937826
1860	0.09733908691
1865	0.09731127116
1870	0.09728701172
1875	0.09725482585
1880	0.09722372233
1885	0.09719675293
1890	0.09716750488
1895	0.09713594564
1900	0.09709980469
1905	0.09705291341
1910	0.09700042318
1915	0.09697195638
1920	0.09694425456
1925	0.09691292318
1930	0.09687742513
1935	0.09683695475
1940	0.09680561523
1945	0.09677565104
1950	0.09673138021
1955	0.09670606283
1960	0.09668215332
1965	0.09665841471
1970	0.09663037923
1975	0.09660565592
1980	0.09657779134
1985	0.09654308268
1990	0.09650265299
1995	0.09647981771
2000	0.09645406901
2005	0.09642990723
2010	0.09640737305
2015	0.09637543132
2020	0.09635358887
2025	0.09633126628
2030	0.09630705566
2035	0.09627373047
2040	0.09624541829
2045	0.09621883952
2050	0.09619217122
2055	0.09616429036
2060	0.0961416097
2065	0.09611927897
2070	0.09608409831
2075	0.09604716797
2080	0.09601505534
2085	0.09598700358
2090	0.09596125488
2095	0.09592900391
2100	0.09589943848
2105	0.09587532552
2110	0.09585756022
2115	0.09583696289
2120	0.09581342773
2125	0.09578603516
2130	0.09576405436
2135	0.09573537598
2140	0.09570803223
2145	0.095687736
2150	0.09565698242
2155	0.09563811035
2160	0.09561036784
2165	0.09556441243
2170	0.0955427653
2175	0.09551821289
2180	0.09549921061
2185	0.09547220866
2190	0.09544228516
2195	0.09541711426
2200	0.0953947347
2205	0.09536805013
2210	0.09534578451
2215	0.09531481934
2220	0.09528707682
2225	0.09525947266
2230	0.09524288737
2235	0.09521407878
2240	0.09519440104
2245	0.09517237956
2250	0.09515813802
2255	0.09513220215
2260	0.0951098877
2265	0.09508308105
2270	0.09505734863
2275	0.09503532715
