iter	Passed	Remaining
0	181	906772
1	199	498456
2	210	350974
3	224	280073
4	237	237003
5	247	205707
6	257	183451
7	269	167919
8	278	154719
9	289	144616
10	302	137104
11	315	131138
12	325	124763
13	343	122323
14	353	117569
15	364	113477
16	374	109656
17	384	106288
18	393	103272
19	403	100459
20	413	98061
21	423	95830
22	433	93765
23	443	91889
24	452	90098
25	462	88515
26	472	87030
27	482	85730
28	491	84332
29	502	83190
30	512	82135
31	522	81177
32	533	80224
33	543	79322
34	553	78476
35	563	77750
36	573	76970
37	584	76269
38	595	75698
39	605	75127
40	616	74571
41	627	74038
42	637	73526
43	648	73059
44	659	72662
45	672	72416
46	683	72077
47	695	71775
48	706	71397
49	717	71016
50	728	70711
51	739	70366
52	749	69992
53	760	69681
54	771	69348
55	782	69068
56	794	68914
57	805	68601
58	815	68285
59	826	68045
60	836	67748
61	847	67467
62	857	67196
63	867	66944
64	878	66698
65	888	66435
66	898	66188
67	910	66004
68	920	65770
69	930	65524
70	940	65311
71	950	65072
72	960	64836
73	970	64609
74	980	64395
75	991	64206
76	1000	63991
77	1011	63799
78	1021	63651
79	1031	63445
80	1041	63276
81	1052	63107
82	1062	62950
83	1072	62794
84	1084	62691
85	1094	62523
86	1104	62376
87	1114	62210
88	1124	62057
89	1134	61889
90	1145	61770
91	1155	61637
92	1165	61503
93	1175	61356
94	1186	61281
95	1197	61164
96	1207	61044
97	1219	61021
98	1231	60957
99	1241	60844
100	1252	60774
101	1263	60671
102	1275	60619
103	1286	60556
104	1296	60459
105	1308	60397
106	1319	60327
107	1330	60264
108	1341	60210
109	1352	60143
110	1363	60038
111	1374	59978
112	1385	59909
113	1395	59802
114	1405	59723
115	1416	59646
116	1426	59542
117	1437	59453
118	1447	59371
119	1457	59288
120	1468	59233
121	1479	59150
122	1489	59062
123	1499	58974
124	1510	58908
125	1520	58830
126	1531	58757
127	1541	58686
128	1552	58603
129	1562	58540
130	1572	58451
131	1583	58407
132	1594	58334
133	1604	58260
134	1615	58206
135	1625	58128
136	1635	58071
137	1646	57994
138	1656	57916
139	1667	57882
140	1678	57837
141	1688	57776
142	1699	57719
143	1710	57689
144	1720	57619
145	1731	57572
146	1741	57503
147	1752	57444
148	1763	57403
149	1773	57329
150	1782	57253
151	1793	57208
152	1804	57156
153	1814	57100
154	1824	57032
155	1834	56968
156	1845	56929
157	1855	56872
158	1865	56803
159	1876	56759
160	1886	56707
161	1897	56667
162	1907	56610
163	1917	56551
164	1928	56523
165	1940	56494
166	1951	56470
167	1962	56440
168	1973	56405
169	1983	56367
170	1994	56331
171	2005	56300
172	2016	56269
173	2027	56247
174	2039	56231
175	2051	56220
176	2062	56199
177	2074	56196
178	2085	56176
179	2096	56148
180	2108	56142
181	2119	56104
182	2130	56070
183	2142	56065
184	2153	56047
185	2164	56009
186	2175	55994
187	2186	55968
188	2196	55916
189	2208	55921
190	2220	55900
191	2231	55873
192	2242	55861
193	2253	55837
194	2265	55822
195	2276	55802
196	2288	55784
197	2298	55736
198	2308	55700
199	2320	55683
200	2331	55667
201	2341	55627
202	2353	55607
203	2364	55581
204	2374	55540
205	2384	55502
206	2396	55478
207	2407	55453
208	2418	55436
209	2429	55411
210	2439	55371
211	2450	55345
212	2460	55304
213	2471	55278
214	2482	55252
215	2493	55219
216	2504	55193
217	2514	55164
218	2525	55140
219	2537	55132
220	2548	55105
221	2559	55077
222	2570	55061
223	2581	55036
224	2592	55014
225	2603	54986
226	2614	54963
227	2624	54929
228	2635	54909
229	2646	54879
230	2657	54862
231	2668	54844
232	2679	54829
233	2690	54806
234	2702	54799
235	2713	54769
236	2723	54732
237	2734	54714
238	2745	54690
239	2755	54655
240	2766	54638
241	2777	54601
242	2787	54577
243	2799	54559
244	2809	54529
245	2820	54508
246	2835	54567
247	2849	54601
248	2861	54602
249	2875	54639
250	2886	54619
251	2898	54613
252	2909	54596
253	2920	54575
254	2932	54559
255	2942	54536
256	2953	54499
257	2964	54480
258	2975	54458
259	2985	54432
260	2997	54418
261	3007	54392
262	3018	54371
263	3029	54350
264	3040	54323
265	3051	54311
266	3062	54289
267	3072	54254
268	3083	54229
269	3094	54210
270	3105	54189
271	3116	54169
272	3127	54148
273	3137	54123
274	3148	54103
275	3160	54087
276	3171	54068
277	3181	54040
278	3192	54018
279	3203	53998
280	3214	53975
281	3225	53966
282	3236	53938
283	3246	53914
284	3257	53886
285	3267	53857
286	3278	53836
287	3289	53813
288	3299	53784
289	3310	53774
290	3321	53752
291	3331	53719
292	3342	53704
293	3353	53680
294	3364	53658
295	3375	53643
296	3386	53629
297	3397	53608
298	3408	53588
299	3418	53563
300	3429	53538
301	3440	53522
302	3451	53503
303	3462	53481
304	3473	53468
305	3483	53442
306	3494	53418
307	3505	53406
308	3515	53376
309	3526	53346
310	3537	53336
311	3548	53318
312	3559	53304
313	3570	53286
314	3581	53261
315	3591	53240
316	3602	53221
317	3613	53196
318	3624	53185
319	3637	53199
320	3647	53165
321	3660	53179
322	3673	53186
323	3685	53184
324	3695	53155
325	3708	53173
326	3719	53160
327	3730	53142
328	3742	53136
329	3754	53137
330	3767	53147
331	3778	53123
332	3790	53120
333	3803	53137
334	3813	53110
335	3825	53096
336	3837	53100
337	3849	53099
338	3860	53074
339	3873	53084
340	3885	53085
341	3897	53084
342	3907	53056
343	3923	53100
344	3935	53106
345	3946	53090
346	3958	53073
347	3969	53070
348	3981	53065
349	3992	53037
350	4004	53038
351	4018	53060
352	4028	53030
353	4038	53002
354	4051	53017
355	4064	53020
356	4074	52993
357	4086	52986
358	4097	52976
359	4107	52943
360	4119	52932
361	4131	52928
362	4141	52908
363	4153	52894
364	4165	52900
365	4177	52893
366	4188	52874
367	4199	52862
368	4211	52860
369	4233	52973
370	4245	52968
371	4255	52942
372	4266	52926
373	4278	52917
374	4288	52887
375	4305	52947
376	4318	52952
377	4331	52964
378	4341	52935
379	4352	52917
380	4366	52936
381	4378	52932
382	4388	52907
383	4401	52904
384	4413	52906
385	4425	52896
386	4435	52871
387	4449	52885
388	4462	52901
389	4473	52879
390	4484	52865
391	4498	52878
392	4512	52901
393	4522	52872
394	4533	52853
395	4546	52861
396	4557	52842
397	4567	52815
398	4579	52807
399	4594	52837
400	4604	52809
401	4629	52955
402	4642	52952
403	4651	52919
404	4662	52898
405	4673	52881
406	4683	52850
407	4696	52864
408	4710	52873
409	4720	52848
410	4731	52824
411	4744	52836
412	4756	52823
413	4766	52799
414	4778	52793
415	4793	52823
416	4804	52806
417	4817	52805
418	4829	52798
419	4843	52814
420	4856	52826
421	4867	52803
422	4879	52795
423	4893	52814
424	4906	52813
425	4916	52790
426	4927	52772
427	4940	52780
428	4951	52756
429	4961	52733
430	4976	52753
431	4991	52783
432	5003	52774
433	5014	52757
434	5025	52744
435	5039	52752
436	5049	52726
437	5061	52715
438	5074	52721
439	5085	52706
440	5096	52691
441	5109	52687
442	5123	52701
443	5135	52698
444	5146	52675
445	5157	52666
446	5171	52675
447	5185	52687
448	5196	52667
449	5208	52659
450	5221	52661
451	5233	52660
452	5243	52636
453	5255	52624
454	5266	52605
455	5276	52580
456	5290	52593
457	5304	52608
458	5317	52609
459	5328	52588
460	5340	52580
461	5352	52575
462	5366	52582
463	5376	52563
464	5388	52556
465	5402	52568
466	5415	52564
467	5426	52544
468	5437	52534
469	5450	52532
470	5460	52508
471	5472	52497
472	5485	52504
473	5497	52495
474	5508	52472
475	5520	52469
476	5533	52473
477	5546	52468
478	5557	52450
479	5568	52439
480	5582	52443
481	5592	52417
482	5604	52414
483	5616	52406
484	5626	52382
485	5637	52359
486	5650	52364
487	5662	52359
488	5675	52354
489	5685	52334
490	5697	52319
491	5710	52322
492	5720	52299
493	5732	52288
494	5745	52285
495	5756	52274
496	5767	52255
497	5778	52242
498	5791	52242
499	5802	52221
500	5813	52205
501	5826	52205
502	5838	52197
503	5849	52182
504	5860	52167
505	5874	52176
506	5889	52196
507	5899	52168
508	5927	52295
509	5937	52277
510	5947	52243
511	5959	52241
512	5972	52235
513	5982	52213
514	5993	52193
515	6005	52184
516	6014	52156
517	6027	52157
518	6041	52157
519	6055	52168
520	6066	52150
521	6078	52141
522	6093	52161
523	6106	52157
524	6120	52166
525	6130	52141
526	6141	52123
527	6154	52125
528	6164	52103
529	6175	52085
530	6189	52093
531	6202	52091
532	6213	52071
533	6224	52054
534	6238	52061
535	6248	52038
536	6262	52048
537	6279	52076
538	6296	52116
539	6308	52105
540	6322	52108
541	6336	52121
542	6350	52122
543	6360	52103
544	6373	52098
545	6387	52107
546	6402	52121
547	6413	52099
548	6424	52089
549	6437	52086
550	6452	52100
551	6465	52098
552	6476	52080
553	6488	52068
554	6499	52055
555	6510	52033
556	6522	52023
557	6534	52018
558	6547	52020
559	6558	51997
560	6569	51983
561	6582	51980
562	6598	52000
563	6608	51978
564	6620	51965
565	6631	51954
566	6642	51931
567	6653	51916
568	6666	51917
569	6679	51910
570	6690	51895
571	6701	51879
572	6714	51876
573	6724	51848
574	6735	51832
575	6749	51838
576	6761	51830
577	6772	51812
578	6784	51802
579	6797	51802
580	6808	51784
581	6819	51768
582	6833	51775
583	6847	51777
584	6859	51770
585	6871	51755
586	6882	51744
587	6895	51742
588	6906	51722
589	6917	51706
590	6931	51710
591	6944	51711
592	6955	51691
593	6967	51680
594	6980	51676
595	6992	51672
596	7003	51649
597	7015	51642
598	7029	51648
599	7041	51637
600	7052	51618
601	7064	51613
602	7077	51605
603	7087	51585
604	7098	51568
605	7113	51576
606	7125	51569
607	7136	51554
608	7148	51540
609	7160	51529
610	7174	51535
611	7188	51543
612	7199	51523
613	7211	51514
614	7223	51506
615	7234	51483
616	7245	51466
617	7256	51452
618	7274	51487
619	7285	51466
620	7296	51451
621	7309	51447
622	7322	51446
623	7333	51428
624	7346	51425
625	7361	51433
626	7374	51432
627	7385	51413
628	7396	51396
629	7409	51399
630	7422	51392
631	7433	51374
632	7445	51362
633	7457	51353
634	7469	51344
635	7493	51416
636	7504	51400
637	7514	51378
638	7525	51362
639	7539	51366
640	7549	51341
641	7561	51326
642	7575	51331
643	7590	51339
644	7602	51328
645	7612	51306
646	7623	51293
647	7636	51287
648	7647	51267
649	7658	51250
650	7672	51253
651	7684	51245
652	7695	51228
653	7707	51219
654	7719	51208
655	7730	51188
656	7741	51173
657	7753	51165
658	7764	51146
659	7775	51127
660	7788	51127
661	7801	51119
662	7811	51097
663	7823	51091
664	7836	51084
665	7848	51075
666	7859	51056
667	7871	51046
668	7885	51048
669	7897	51039
670	7910	51035
671	7921	51018
672	7932	51004
673	7943	50985
674	7954	50970
675	7967	50962
676	7977	50938
677	7988	50924
678	8001	50920
679	8014	50914
680	8025	50895
681	8036	50883
682	8050	50885
683	8060	50862
684	8071	50842
685	8083	50834
686	8096	50830
687	8106	50809
688	8118	50798
689	8133	50806
690	8146	50803
691	8158	50788
692	8170	50778
693	8182	50771
694	8195	50762
695	8205	50742
696	8217	50731
697	8230	50728
698	8243	50725
699	8262	50755
700	8272	50734
701	8284	50724
702	8298	50724
703	8311	50716
704	8321	50695
705	8334	50689
706	8347	50688
707	8360	50684
708	8373	50675
709	8384	50658
710	8396	50652
711	8409	50643
712	8422	50639
713	8432	50619
714	8444	50608
715	8456	50597
716	8466	50577
717	8478	50566
718	8492	50566
719	8504	50552
720	8515	50534
721	8526	50523
722	8538	50510
723	8548	50490
724	8561	50482
725	8572	50466
726	8586	50464
727	8596	50443
728	8607	50431
729	8620	50425
730	8630	50403
731	8642	50389
732	8654	50380
733	8664	50360
734	8675	50343
735	8687	50331
736	8698	50313
737	8709	50295
738	8720	50284
739	8731	50267
740	8743	50252
741	8755	50240
742	8768	50237
743	8780	50225
744	8791	50211
745	8806	50217
746	8820	50219
747	8833	50211
748	8843	50189
749	8854	50176
750	8882	50254
751	8895	50250
752	8906	50234
753	8932	50299
754	8944	50291
755	8954	50268
756	8965	50250
757	8974	50223
758	9005	50320
759	9019	50317
760	9029	50294
761	9038	50271
762	9050	50256
763	9060	50235
764	9070	50214
765	9081	50195
766	9092	50179
767	9104	50170
768	9118	50167
769	9130	50158
770	9141	50139
771	9167	50207
772	9179	50196
773	9190	50177
774	9202	50169
775	9214	50159
776	9225	50141
777	9247	50181
778	9257	50162
779	9269	50151
780	9280	50135
781	9291	50117
782	9302	50101
783	9334	50195
784	9349	50199
785	9358	50172
786	9368	50153
787	9382	50148
788	9393	50135
789	9403	50113
790	9417	50111
791	9430	50104
792	9440	50082
793	9451	50064
794	9462	50048
795	9472	50029
796	9484	50015
797	9497	50011
798	9509	50001
799	9520	49980
800	9531	49968
801	9543	49952
802	9554	49935
803	9565	49922
804	9579	49921
805	9590	49902
806	9601	49884
807	9613	49875
808	9625	49865
809	9636	49845
810	9647	49830
811	9658	49816
812	9669	49799
813	9686	49812
814	9703	49825
815	9715	49815
816	9729	49816
817	9744	49820
818	9757	49813
819	9767	49792
820	9779	49778
821	9793	49775
822	9805	49767
823	9815	49745
824	9829	49740
825	9841	49730
826	9851	49709
827	9862	49693
828	9876	49690
829	9887	49674
830	9898	49657
831	9910	49647
832	9922	49638
833	9933	49620
834	9944	49605
835	9956	49592
836	9967	49574
837	9979	49565
838	9991	49554
839	10004	49544
840	10014	49523
841	10025	49508
842	10037	49496
843	10047	49477
844	10059	49461
845	10073	49462
846	10084	49444
847	10094	49426
848	10108	49422
849	10118	49402
850	10128	49382
851	10140	49369
852	10152	49359
853	10164	49347
854	10179	49348
855	10191	49338
856	10203	49327
857	10213	49307
858	10227	49303
859	10241	49300
860	10251	49282
861	10262	49262
862	10274	49251
863	10287	49247
864	10298	49229
865	10308	49210
866	10322	49207
867	10333	49190
868	10344	49172
869	10355	49159
870	10369	49157
871	10382	49148
872	10392	49128
873	10404	49118
874	10416	49106
875	10426	49085
876	10437	49070
877	10449	49057
878	10460	49040
879	10472	49029
880	10485	49023
881	10498	49015
882	10509	48999
883	10520	48983
884	10534	48981
885	10547	48975
886	10558	48958
887	10571	48950
888	10584	48946
889	10597	48937
890	10608	48920
891	10619	48904
892	10632	48900
893	10643	48883
894	10655	48870
895	10667	48860
896	10680	48852
897	10691	48838
898	10703	48826
899	10736	48910
900	10749	48905
901	10760	48886
902	10772	48874
903	10785	48866
904	10799	48864
905	10812	48857
906	10823	48842
907	10836	48833
908	10849	48828
909	10861	48818
910	10873	48806
911	10885	48791
912	10898	48785
913	10910	48774
914	10921	48757
915	10932	48743
916	10944	48732
917	10955	48714
918	10966	48701
919	10980	48697
920	10992	48686
921	11003	48666
922	11016	48659
923	11029	48653
924	11039	48632
925	11051	48622
926	11062	48605
927	11072	48586
928	11083	48570
929	11093	48550
930	11125	48623
931	11138	48617
932	11149	48602
933	11159	48581
934	11187	48640
935	11201	48636
936	11220	48653
937	11230	48633
938	11240	48615
939	11253	48605
940	11266	48597
941	11277	48582
942	11289	48571
943	11304	48569
944	11316	48559
945	11327	48544
946	11339	48530
947	11353	48526
948	11365	48514
949	11377	48505
950	11389	48491
951	11402	48483
952	11416	48480
953	11426	48461
954	11438	48447
955	11450	48439
956	11463	48430
957	11473	48410
958	11487	48403
959	11501	48400
960	11511	48379
961	11522	48367
962	11535	48359
963	11548	48348
964	11558	48330
965	11570	48318
966	11584	48316
967	11598	48310
968	11609	48294
969	11621	48281
970	11634	48275
971	11645	48258
972	11655	48240
973	11668	48231
974	11681	48225
975	11692	48207
976	11703	48190
977	11715	48178
978	11725	48161
979	11737	48145
980	11751	48142
981	11764	48135
982	11776	48124
983	11786	48103
984	11799	48096
985	11811	48084
986	11822	48067
987	11834	48054
988	11846	48044
989	11856	48026
990	11867	48008
991	11879	47995
992	11891	47984
993	11901	47965
994	11913	47952
995	11925	47939
996	11936	47924
997	11948	47913
998	11962	47907
999	11972	47891
1000	11983	47873
1001	11995	47862
1002	12008	47853
1003	12018	47834
1004	12030	47824
1005	12042	47810
1006	12052	47791
1007	12064	47780
1008	12077	47770
1009	12087	47752
1010	12098	47736
1011	12112	47730
1012	12125	47725
1013	12139	47720
1014	12150	47702
1015	12162	47692
1016	12175	47686
1017	12186	47669
1018	12201	47667
1019	12213	47655
1020	12226	47650
1021	12238	47636
1022	12249	47619
1023	12262	47612
1024	12275	47604
1025	12285	47586
1026	12296	47569
1027	12309	47561
1028	12322	47554
1029	12333	47537
1030	12358	47576
1031	12370	47563
1032	12380	47545
1033	12391	47529
1034	12403	47517
1035	12413	47498
1036	12425	47487
1037	12439	47479
1038	12450	47465
1039	12461	47449
1040	12473	47436
1041	12485	47424
1042	12495	47405
1043	12507	47395
1044	12521	47391
1045	12534	47381
1046	12548	47376
1047	12563	47377
1048	12576	47368
1049	12589	47361
1050	12600	47346
1051	12611	47330
1052	12623	47318
1053	12636	47309
1054	12647	47293
1055	12657	47275
1056	12671	47268
1057	12684	47261
1058	12695	47245
1059	12706	47228
1060	12720	47224
1061	12731	47208
1062	12741	47189
1063	12754	47182
1064	12768	47176
1065	12778	47159
1066	12790	47145
1067	12801	47131
1068	12813	47120
1069	12824	47102
1070	12836	47090
1071	12849	47084
1072	12863	47077
1073	12874	47061
1074	12885	47048
1075	12899	47043
1076	12910	47025
1077	12920	47009
1078	12934	47002
1079	12945	46988
1080	12957	46974
1081	12968	46958
1082	12980	46946
1083	12990	46928
1084	13002	46916
1085	13015	46906
1086	13027	46897
1087	13038	46880
1088	13049	46866
1089	13062	46858
1090	13072	46839
1091	13084	46825
1092	13097	46817
1093	13108	46801
1094	13118	46784
1095	13131	46775
1096	13143	46764
1097	13154	46747
1098	13166	46734
1099	13178	46725
1100	13189	46709
1101	13201	46698
1102	13215	46692
