feature,importance
v_3,35.97840394945935
v_12,16.992121037177906
v_0,14.824376302061529
v_10,4.526492504026234
v_6,3.2785311111398205
v_1,2.1522455533993705
age_segment,2.092913734731125
v_8,1.9484223303067387
notRepairedDamage,1.9109577647274563
kilometer,1.8337509863878227
power,1.6706388884476626
v_9,1.638311485256691
v_14,1.3362465049307375
car_age_from_now,1.297873230705441
brand_price_std,0.9775568721910878
vehicle_age_years,0.9641885425351701
vehicle_age_days,0.9154078417629864
reg_year,0.8807969912714829
v_11,0.7806331838952323
v_2,0.5704562581907211
notRepairedDamage_freq,0.51207430164032
km_per_year,0.4636237995117679
v_4,0.3960739177164792
model,0.3743867734546601
v_13,0.3103690158382299
bodyType,0.19120250083775905
model_freq,0.16044002690633466
v_7,0.11916703298240329
brand_price_mean,0.11431369610942058
brand_price_count,0.10305048665351343
v_5,0.08911623697210133
brand_freq,0.08899147514890492
brand_price_median,0.07158907107678365
reg_month,0.0701963203225579
brand_price_ratio,0.06656578228731981
fuelType,0.05733177018905517
model_num,0.05326848888201117
regionCode,0.043638077515411766
gearbox,0.037348975514270695
bodyType_freq,0.03686439508999171
brand,0.03275942401849783
fuelType_freq,0.01505760864396562
is_new_car,0.013868121184891929
creat_day,0.004170795494232746
creat_month,0.0031321096271728893
gearbox_freq,0.0006189190593508992
reg_season,0.0004129893573539685
power_outlier,4.2815360667525375e-05
v_0_outlier,0.0
kilometer_outlier,0.0
v_14_missing,0.0
brand_model,0.0
v_9_missing,0.0
v_13_missing,0.0
v_12_missing,0.0
reg_day,0.0
creat_year,0.0
creat_season,0.0
power_missing,0.0
kilometer_missing,0.0
v_0_missing,0.0
v_1_missing,0.0
v_2_missing,0.0
v_3_missing,0.0
v_4_missing,0.0
v_5_missing,0.0
v_6_missing,0.0
v_8_missing,0.0
v_10_missing,0.0
v_11_missing,0.0
v_7_missing,0.0
